movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,904803
霸王别姬,2,9.5,651961
这个杀手不太冷,3,9.4,860931
阿甘正传,4,9.4,732705
美丽人生,5,9.5,427778
千与千寻,6,9.2,683449
辛德勒的名单,7,9.4,393469
泰坦尼克号,8,9.2,673810
盗梦空间,9,9.2,783210
机器人总动员,10,9.3,511000
海上钢琴师,11,9.2,612676
三傻大闹宝莱坞,12,9.1,692838
忠犬八公的故事,13,9.2,470218
放牛班的春天,14,9.2,465444
大话西游之大圣娶亲,15,9.2,503237
教父,16,9.2,352917
龙猫,17,9.1,429644
楚门的世界,18,9.1,470663
乱世佳人,19,9.2,277357
天堂电影院,20,9.1,316290
触不可及,21,9.1,375423
当幸福来敲门,22,8.9,552696
熔炉,23,9.2,262930
无间道,24,9.0,411397
搏击俱乐部,25,9.0,411583
十二怒汉,26,9.4,175832
星际穿越,27,9.1,499060
怦然心动,28,8.9,563874
指环王3：王者无敌,29,9.1,290786
少年派的奇幻漂流,30,9.0,591141
天空之城,31,9.0,340285
鬼子来了,32,9.2,234575
蝙蝠侠：黑暗骑士,33,9.0,329421
罗马假日,34,8.9,393645
活着,35,9.1,274490
大话西游之月光宝盒,36,8.9,406275
两杆大烟枪,37,9.0,278376
飞屋环游记,38,8.9,506871
窃听风暴,39,9.1,227668
飞越疯人院,40,9.0,282100
海豚湾,41,9.3,184302
闻香识女人,42,8.9,327356
V字仇杀队,43,8.8,423770
哈尔的移动城堡,44,8.9,355453
控方证人,45,9.6,91027
教父2,46,9.1,189991
美丽心灵,47,8.9,309167
指环王2：双塔奇兵,48,8.9,274149
死亡诗社,49,8.9,282096
指环王1：魔戒再现,50,8.9,306476
情书,51,8.8,380177
辩护人,52,9.1,207924
天使爱美丽,53,8.7,487231
美国往事,54,9.1,177203
饮食男女,55,9.0,200838
钢琴家,56,9.0,204960
疯狂动物城,57,9.2,503455
狮子王,58,8.9,284499
七宗罪,59,8.7,439515
被嫌弃的松子的一生,60,8.9,286196
致命魔术,61,8.8,346951
小鞋子,62,9.2,138208
勇敢的心,63,8.8,297476
剪刀手爱德华,64,8.7,487557
音乐之声,65,8.9,233484
低俗小说,66,8.8,336858
素媛,67,9.1,178877
本杰明·巴顿奇事,68,8.7,396005
黑客帝国,69,8.8,282523
沉默的羔羊,70,8.7,355227
入殓师,71,8.8,320304
拯救大兵瑞恩,72,8.9,238719
西西里的美丽传说,73,8.7,349639
